Employee_ID,First_Name,Last_Name,Age,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work,Department,Region
EMP1025,David,Miller,25.0,Pending,2020-04-30,66025.92,david.miller@example.com,(948) 562-5727,Average,False,Cloud Tech,Nevada
EMP1026,Frank,Miller,25.0,Inactive,2023-10-02,83979.01,frank.miller@example.com,(703) 203-2073,Average,False,Sales,New York
EMP1027,Heidi,Johnson,30.0,Active,2020-07-12,56785.16,heidi.johnson@example.com,(276) 170-7586,Excellent,True,Finance,Florida
EMP1028,Grace,Garcia,40.0,Active,2023-10-11,95741.88,grace.garcia@example.com,(771) 215-1341,Excellent,False,Finance,Nevada
EMP1029,Alice,Brown,40.0,Active,2021-05-24,63411.31,alice.brown@example.com,(284) 993-9088,Excellent,True,DevOps,California
EMP1030,Charlie,Jones,40.0,Inactive,2021-05-26,111214.02,charlie.jones@example.com,(261) 371-5040,Good,True,Admin,California
EMP1031,Bob,Smith,25.0,Active,2020-07-10,114845.69,bob.smith@example.com,(659) 152-0176,Excellent,True,DevOps,Illinois
EMP1032,Charlie,Brown,40.0,Active,2024-11-05,78072.82,charlie.brown@example.com,(749) 050-9758,Average,False,Finance,Florida
EMP1033,Grace,Johnson,25.0,Inactive,2021-08-07,79610.52,grace.johnson@example.com,(230) 450-1895,Average,False,Finance,California
EMP1034,Heidi,Miller,30.0,Active,2020-04-29,90542.62,heidi.miller@example.com,(164) 236-1031,Excellent,True,Admin,California
EMP1035,Frank,Jones,25.0,Inactive,2022-10-26,114357.1,frank.jones@example.com,(664) 214-7648,Excellent,True,Cloud Tech,Illinois
EMP1036,Alice,Brown,30.0,Active,2023-05-03,54757.26,alice.brown@example.com,(251) 583-7766,Poor,False,Cloud Tech,New York
EMP1037,Grace,Smith,25.0,Pending,2023-05-02,52781.92,grace.smith@example.com,(499) 616-5925,Average,True,Sales,New York
EMP1038,Frank,Smith,35.0,Pending,2021-10-05,66708.02,frank.smith@example.com,(610) 857-3277,Good,True,Admin,Nevada
EMP1039,Eva,Williams,40.0,Active,2022-07-27,93481.15,eva.williams@example.com,(814) 761-7421,Poor,False,HR,Texas
EMP1040,Bob,Williams,25.0,Pending,2021-06-27,59271.96,bob.williams@example.com,(438) 649-0809,Excellent,True,Sales,New York
EMP1041,Bob,Davis,30.0,Active,2022-06-16,108362.15,bob.davis@example.com,(818) 661-7944,Excellent,False,HR,California
EMP1042,Alice,Johnson,30.0,Active,2024-12-03,59400.38,alice.johnson@example.com,(491) 801-7225,Average,True,HR,Nevada
EMP1043,Bob,Garcia,30.0,Inactive,2023-05-23,64744.08,bob.garcia@example.com,(016) 459-7793,Excellent,False,Admin,California
EMP1044,Eva,Brown,35.0,Active,2020-07-08,94399.91,eva.brown@example.com,(523) 219-4167,Good,True,Finance,California
EMP1045,Alice,Brown,25.0,Pending,2021-06-20,61310.74,alice.brown@example.com,(006) 102-7768,Average,True,HR,New York
EMP1046,Grace,Garcia,30.0,Active,2024-12-13,98371.37,grace.garcia@example.com,(749) 956-4121,Excellent,False,Cloud Tech,Texas
EMP1047,Alice,Davis,35.0,Active,2022-05-30,58921.19,alice.davis@example.com,(031) 030-3722,Average,True,Sales,Illinois
EMP1048,Alice,Miller,35.0,Active,2023-09-27,57195.55,alice.miller@example.com,(683) 147-2759,Excellent,False,Admin,Nevada
EMP1049,Grace,Miller,32.5,Active,2024-11-05,61375.12,grace.miller@example.com,(122) 777-0792,Excellent,True,DevOps,New York
EMP1050,Charlie,Davis,40.0,Pending,2021-11-11,104767.05,charlie.davis@example.com,(349) 605-0165,Excellent,False,Cloud Tech,New York
EMP1051,David,Miller,35.0,Active,2022-02-22,111051.67,david.miller@example.com,(799) 840-7677,Good,False,Admin,Nevada
EMP1052,David,Williams,30.0,Inactive,2024-08-07,105674.18,david.williams@example.com,(997) 308-0694,Good,False,Finance,California
EMP1053,Alice,Brown,30.0,Inactive,2024-11-05,54859.45,alice.brown@example.com,(814) 671-7956,Average,False,Finance,California
EMP1054,Frank,Davis,35.0,Pending,2021-11-09,115746.6,frank.davis@example.com,(602) 437-5737,Excellent,True,Finance,Nevada
EMP1055,Eva,Brown,30.0,Active,2020-08-10,91759.99,eva.brown@example.com,(395) 972-4664,Excellent,True,Sales,California
EMP1056,Frank,Garcia,40.0,Active,2022-02-27,112965.33,frank.garcia@example.com,(729) 341-7222,Good,False,Sales,Illinois
EMP1057,Alice,Smith,40.0,Pending,2023-11-07,100360.1,alice.smith@example.com,(297) 167-4337,Excellent,False,Cloud Tech,Illinois
EMP1058,David,Williams,35.0,Pending,2021-11-07,93620.88,david.williams@example.com,(005) 452-2800,Good,False,Finance,Texas
EMP1059,Bob,Jones,35.0,Pending,2022-04-16,72832.8,bob.jones@example.com,(561) 931-8373,Excellent,True,Sales,California
EMP1060,Charlie,Williams,30.0,Inactive,2023-10-19,102369.42,charlie.williams@example.com,(550) 842-8909,Average,True,Finance,Nevada
EMP1061,Eva,Davis,40.0,Inactive,2021-08-10,64712.79,eva.davis@example.com,(771) 199-1807,Excellent,True,Sales,Texas
EMP1062,Frank,Jones,40.0,Pending,2021-03-13,85782.18,frank.jones@example.com,(121) 352-4786,Excellent,True,Finance,Florida
EMP1063,Charlie,Smith,25.0,Pending,2023-07-20,93348.26,charlie.smith@example.com,(125) 521-3759,Poor,False,HR,Illinois
EMP1064,David,Davis,35.0,Active,2020-02-20,53234.96,david.davis@example.com,(375) 482-1455,Good,False,Admin,New York
EMP1065,Bob,Johnson,40.0,Pending,2021-02-02,100284.21,bob.johnson@example.com,(532) 863-2665,Excellent,False,Finance,Nevada
EMP1066,Grace,Brown,30.0,Pending,2020-01-12,112486.19,grace.brown@example.com,(785) 072-0810,Excellent,True,Admin,Nevada
EMP1067,Bob,Smith,40.0,Pending,2022-11-26,82518.49,bob.smith@example.com,(556) 260-6028,Poor,True,Admin,New York
EMP1068,Bob,Brown,40.0,Pending,2022-12-23,119152.47,bob.brown@example.com,(084) 668-4549,Poor,True,Admin,Florida
EMP1069,Heidi,Miller,32.5,Inactive,2024-08-28,113479.83,heidi.miller@example.com,(489) 267-3898,Good,False,DevOps,Illinois
EMP1070,Charlie,Johnson,40.0,Active,2024-09-16,94636.3,charlie.johnson@example.com,(756) 341-0855,Poor,False,Finance,California
EMP1071,Heidi,Johnson,30.0,Active,2024-01-01,70000.97,heidi.johnson@example.com,(288) 431-8847,Average,True,HR,Florida
EMP1072,Frank,Smith,30.0,Active,2021-04-18,76812.47,frank.smith@example.com,(520) 089-4345,Poor,False,Cloud Tech,New York
EMP1073,David,Johnson,25.0,Inactive,2023-01-16,82614.7,david.johnson@example.com,(810) 548-5100,Average,True,Finance,Florida
EMP1074,Grace,Jones,40.0,Active,2024-10-20,111645.97,grace.jones@example.com,(749) 075-3997,Good,True,Sales,Nevada
EMP1075,Heidi,Johnson,25.0,Inactive,2024-10-13,112414.91,heidi.johnson@example.com,(935) 449-2682,Good,False,HR,California
EMP1076,David,Brown,40.0,Inactive,2022-09-21,52031.74,david.brown@example.com,(158) 935-7125,Good,True,Admin,California
EMP1077,Grace,Brown,30.0,Pending,2022-12-29,51887.65,grace.brown@example.com,(611) 062-7370,Good,False,Finance,New York
EMP1078,Alice,Davis,25.0,Active,2024-11-10,82318.89,alice.davis@example.com,(586) 988-6496,Good,True,DevOps,Florida
EMP1079,Grace,Brown,35.0,Inactive,2021-11-22,103286.08,grace.brown@example.com,(677) 622-8276,Average,False,Admin,Florida
EMP1080,Grace,Davis,35.0,Active,2024-03-14,87759.33,grace.davis@example.com,(288) 137-7027,Average,False,Cloud Tech,Florida
EMP1081,Frank,Brown,30.0,Pending,2020-03-23,102796.32,frank.brown@example.com,(519) 611-5939,Good,False,DevOps,Texas
EMP1082,David,Jones,25.0,Active,2020-09-15,83149.27,david.jones@example.com,(821) 545-4469,Poor,True,Sales,New York
EMP1083,David,Garcia,40.0,Inactive,2020-12-09,92412.49,david.garcia@example.com,(229) 604-4326,Excellent,True,DevOps,California
EMP1084,Bob,Davis,30.0,Pending,2020-02-22,115022.1,bob.davis@example.com,(018) 510-6793,Good,False,HR,Texas
EMP1085,Grace,Williams,40.0,Active,2023-04-27,98343.01,grace.williams@example.com,(975) 679-2286,Poor,False,DevOps,New York
EMP1086,Bob,Miller,35.0,Active,2024-06-18,118869.1,bob.miller@example.com,(772) 519-9662,Excellent,True,DevOps,Illinois
EMP1087,Frank,Smith,35.0,Inactive,2020-05-21,85417.26,frank.smith@example.com,(658) 074-1208,Good,True,Finance,Nevada
EMP1088,Grace,Brown,40.0,Inactive,2023-07-25,112410.25,grace.brown@example.com,(481) 813-9889,Good,True,Cloud Tech,Florida
EMP1089,Charlie,Johnson,40.0,Pending,2023-08-25,68905.77,charlie.johnson@example.com,(983) 780-1819,Average,False,Admin,Nevada
EMP1090,Heidi,Garcia,40.0,Pending,2021-07-03,72561.32,heidi.garcia@example.com,(433) 971-8955,Excellent,True,Finance,Nevada
EMP1091,Bob,Brown,35.0,Inactive,2023-03-13,92723.22,bob.brown@example.com,(907) 056-2607,Excellent,True,Finance,New York
EMP1092,Alice,Johnson,40.0,Inactive,2021-03-10,74837.75,alice.johnson@example.com,(564) 111-8241,Poor,False,HR,New York
EMP1093,Eva,Miller,32.5,Pending,2020-01-21,86163.91,eva.miller@example.com,(241) 246-2094,Average,True,DevOps,California
EMP1094,David,Miller,40.0,Active,2023-11-15,83326.52,david.miller@example.com,(200) 461-5264,Average,True,Finance,Illinois
EMP1095,Heidi,Miller,25.0,Active,2022-04-08,98425.1,heidi.miller@example.com,(461) 033-9936,Average,True,Cloud Tech,California
EMP1096,Frank,Johnson,40.0,Inactive,2022-05-21,119764.2,frank.johnson@example.com,(886) 140-5785,Average,False,Sales,Illinois
EMP1097,Frank,Brown,40.0,Inactive,2021-04-17,58445.91,frank.brown@example.com,(170) 630-4890,Excellent,False,HR,California
EMP1098,Bob,Miller,32.5,Active,2021-03-19,101702.33,bob.miller@example.com,(382) 496-7182,Excellent,False,DevOps,New York
EMP1099,Eva,Jones,25.0,Active,2022-01-09,87473.69,eva.jones@example.com,(258) 238-6869,Good,False,Admin,California
EMP1100,Charlie,Davis,35.0,Pending,2021-08-21,98819.22,charlie.davis@example.com,(079) 420-0748,Good,False,Cloud Tech,Texas
EMP1101,Heidi,Johnson,25.0,Inactive,2022-08-19,83509.99,heidi.johnson@example.com,(465) 398-4027,Average,False,Cloud Tech,Illinois
EMP1102,Alice,Johnson,35.0,Active,2022-03-31,84422.26,alice.johnson@example.com,(914) 161-2845,Average,False,Finance,Texas
EMP1103,Alice,Brown,30.0,Inactive,2020-06-23,119574.27,alice.brown@example.com,(398) 554-7434,Average,True,Admin,Illinois
EMP1104,Grace,Johnson,30.0,Active,2024-05-07,86580.08,grace.johnson@example.com,(537) 950-2096,Good,True,Sales,Illinois
EMP1105,Heidi,Johnson,35.0,Inactive,2023-03-10,93471.91,heidi.johnson@example.com,(002) 687-6810,Poor,False,Sales,Florida
EMP1106,Bob,Miller,30.0,Inactive,2023-09-14,55683.12,bob.miller@example.com,(807) 156-9561,Poor,True,DevOps,New York
EMP1107,Bob,Brown,30.0,Inactive,2023-11-12,91566.78,bob.brown@example.com,(017) 537-0303,Good,True,Cloud Tech,Florida
EMP1108,David,Miller,35.0,Pending,2024-10-26,81782.19,david.miller@example.com,(531) 943-3749,Good,False,DevOps,California
EMP1109,Eva,Davis,32.5,Inactive,2020-08-23,88119.37,eva.davis@example.com,(479) 303-6148,Good,True,DevOps,New York
EMP1110,Eva,Garcia,30.0,Active,2024-06-11,71532.83,eva.garcia@example.com,(872) 839-9920,Good,True,Cloud Tech,Texas
EMP1111,Eva,Davis,40.0,Pending,2021-09-14,98981.36,eva.davis@example.com,(921) 249-3842,Good,True,Cloud Tech,Florida
EMP1112,Heidi,Garcia,40.0,Active,2024-12-26,80242.01,heidi.garcia@example.com,(089) 487-0604,Good,True,Cloud Tech,Illinois
EMP1113,Eva,Miller,25.0,Pending,2024-09-08,110236.18,eva.miller@example.com,(664) 187-7579,Average,True,Cloud Tech,New York
EMP1114,Alice,Davis,35.0,Active,2022-08-21,86327.47,alice.davis@example.com,(304) 687-5062,Average,False,Sales,Texas
EMP1115,Eva,Brown,30.0,Pending,2024-07-25,84420.81,eva.brown@example.com,(519) 036-1331,Average,False,Sales,Florida
EMP1116,Frank,Smith,40.0,Pending,2020-08-02,110041.32,frank.smith@example.com,(541) 107-6094,Average,False,HR,California
EMP1117,Heidi,Miller,35.0,Pending,2020-03-16,81837.81,heidi.miller@example.com,(431) 735-0582,Good,True,DevOps,Florida
EMP1118,Frank,Garcia,25.0,Active,2023-09-08,110855.72,frank.garcia@example.com,(199) 717-9109,Poor,False,Finance,Illinois
EMP1119,Alice,Jones,30.0,Pending,2024-03-29,84894.52,alice.jones@example.com,(065) 120-7048,Excellent,True,Sales,California
EMP1120,Alice,Garcia,30.0,Active,2021-08-12,80668.13,alice.garcia@example.com,(611) 080-4660,Good,True,HR,Illinois
EMP1121,Bob,Jones,25.0,Active,2023-12-24,61086.47,bob.jones@example.com,(963) 990-7675,Excellent,True,DevOps,Illinois
EMP1122,Grace,Johnson,25.0,Inactive,2020-08-28,95339.68,grace.johnson@example.com,(991) 507-8592,Poor,True,Admin,Texas
EMP1123,Eva,Davis,32.5,Inactive,2024-09-05,83774.97,eva.davis@example.com,(110) 919-3927,Average,False,DevOps,California
EMP1124,Heidi,Jones,30.0,Active,2023-05-12,85576.86,heidi.jones@example.com,(456) 797-2319,Poor,False,Admin,Florida
EMP1125,Bob,Garcia,35.0,Pending,2021-07-01,107438.46,bob.garcia@example.com,(024) 968-5497,Good,True,Finance,California
EMP1126,Eva,Johnson,30.0,Inactive,2024-11-07,60401.68,eva.johnson@example.com,(227) 495-4507,Average,False,Sales,Nevada
EMP1127,Frank,Smith,35.0,Inactive,2022-07-21,115299.66,frank.smith@example.com,(920) 388-0652,Good,True,Sales,Illinois
EMP1128,David,Brown,35.0,Inactive,2020-03-30,72272.34,david.brown@example.com,(331) 537-7958,Average,False,Finance,New York
EMP1129,Grace,Brown,40.0,Active,2022-10-11,117537.71,grace.brown@example.com,(959) 465-2169,Excellent,False,DevOps,Nevada
EMP1130,Frank,Brown,25.0,Pending,2022-07-24,51074.33,frank.brown@example.com,(730) 337-9336,Excellent,True,Finance,Texas
EMP1131,Charlie,Jones,25.0,Inactive,2023-06-30,98489.32,charlie.jones@example.com,(563) 620-5014,Excellent,False,Finance,California
EMP1132,Frank,Smith,35.0,Pending,2024-01-11,112120.71,frank.smith@example.com,(081) 247-3949,Poor,True,Finance,California
EMP1133,Alice,Jones,30.0,Pending,2023-11-02,114465.04,alice.jones@example.com,(033) 423-4257,Good,False,Cloud Tech,New York
EMP1134,Bob,Davis,40.0,Pending,2024-11-22,57035.51,bob.davis@example.com,(323) 024-1025,Poor,True,Cloud Tech,Nevada
EMP1135,Eva,Jones,25.0,Active,2021-08-23,75092.43,eva.jones@example.com,(153) 473-5527,Excellent,True,Cloud Tech,California
EMP1136,David,Smith,35.0,Pending,2024-06-11,62603.98,david.smith@example.com,(961) 122-3385,Good,False,Finance,Illinois
EMP1137,Grace,Smith,32.5,Inactive,2023-04-09,60018.24,grace.smith@example.com,(559) 630-9937,Excellent,False,DevOps,New York
EMP1138,Eva,Davis,40.0,Active,2024-07-05,82567.73,eva.davis@example.com,(425) 304-2896,Poor,True,HR,Nevada
EMP1139,Charlie,Smith,25.0,Pending,2021-09-04,94725.71,charlie.smith@example.com,(317) 912-8684,Poor,False,Finance,California
EMP1140,Eva,Garcia,40.0,Inactive,2024-10-13,83824.56,eva.garcia@example.com,(787) 255-8776,Poor,False,HR,New York
EMP1141,Frank,Smith,30.0,Inactive,2020-02-14,118456.11,frank.smith@example.com,(496) 903-3372,Excellent,True,HR,Nevada
EMP1142,Eva,Brown,25.0,Pending,2020-04-10,113743.19,eva.brown@example.com,(634) 669-2547,Good,True,Sales,Nevada
EMP1143,Eva,Garcia,30.0,Active,2023-07-27,63309.24,eva.garcia@example.com,(121) 478-5389,Good,False,Sales,California
EMP1144,Charlie,Garcia,25.0,Active,2021-09-24,105202.73,charlie.garcia@example.com,(789) 567-7664,Excellent,True,DevOps,Nevada
EMP1145,Frank,Davis,30.0,Inactive,2024-03-10,79085.22,frank.davis@example.com,(754) 602-7340,Good,True,Cloud Tech,California
EMP1146,Frank,Williams,30.0,Active,2021-06-10,113983.43,frank.williams@example.com,(514) 888-1430,Excellent,True,Sales,California
EMP1147,Eva,Williams,35.0,Active,2020-10-15,102790.6,eva.williams@example.com,(115) 083-5353,Good,False,Cloud Tech,Florida
EMP1148,Grace,Smith,30.0,Inactive,2020-01-29,68512.1,grace.smith@example.com,(443) 928-4043,Average,False,HR,Texas
EMP1149,Frank,Garcia,35.0,Pending,2022-01-30,57584.23,frank.garcia@example.com,(566) 907-8262,Average,True,Sales,Florida
EMP1150,Alice,Williams,30.0,Pending,2021-03-29,95335.67,alice.williams@example.com,(337) 389-8774,Poor,False,Sales,California
EMP1151,Heidi,Williams,35.0,Active,2020-10-13,53174.28,heidi.williams@example.com,(153) 663-7779,Average,True,DevOps,Florida
EMP1152,Heidi,Smith,25.0,Pending,2020-10-04,77205.21,heidi.smith@example.com,(529) 240-7552,Average,False,Cloud Tech,New York
EMP1153,Grace,Williams,32.5,Active,2024-12-18,79041.92,grace.williams@example.com,(666) 845-9089,Average,True,DevOps,Nevada
EMP1154,Heidi,Jones,35.0,Active,2023-11-14,75937.1,heidi.jones@example.com,(225) 999-9662,Excellent,True,Finance,California
EMP1155,David,Johnson,35.0,Inactive,2023-01-20,113118.73,david.johnson@example.com,(618) 637-1596,Average,False,Cloud Tech,Nevada
EMP1156,Alice,Davis,40.0,Active,2024-10-02,107693.38,alice.davis@example.com,(412) 182-0969,Average,True,HR,New York
EMP1157,David,Johnson,30.0,Inactive,2021-05-13,119217.46,david.johnson@example.com,(231) 643-3480,Poor,False,Cloud Tech,Texas
EMP1158,David,Smith,25.0,Pending,2021-03-18,106913.71,david.smith@example.com,(705) 802-5661,Average,False,Sales,New York
EMP1159,Charlie,Brown,30.0,Active,2020-09-23,87815.08,charlie.brown@example.com,(128) 671-6322,Average,True,Cloud Tech,California
EMP1160,Bob,Davis,25.0,Inactive,2024-06-05,105190.21,bob.davis@example.com,(467) 299-4937,Good,True,Admin,Texas
EMP1161,Alice,Smith,30.0,Active,2024-02-28,79467.24,alice.smith@example.com,(743) 027-1692,Poor,False,HR,Texas
EMP1162,Bob,Garcia,40.0,Pending,2023-04-30,57633.78,bob.garcia@example.com,(859) 777-9013,Poor,True,Finance,California
EMP1163,Alice,Brown,30.0,Pending,2020-03-04,54257.78,alice.brown@example.com,(754) 692-6328,Poor,True,HR,Florida
EMP1164,Grace,Johnson,40.0,Inactive,2023-12-29,113679.06,grace.johnson@example.com,(676) 291-6031,Poor,True,DevOps,Texas
EMP1165,Bob,Smith,35.0,Active,2020-09-15,69251.12,bob.smith@example.com,(484) 137-6814,Poor,True,Sales,New York
EMP1166,Frank,Garcia,40.0,Inactive,2022-07-18,85388.58,frank.garcia@example.com,(118) 567-2437,Poor,True,Sales,Illinois
EMP1167,Bob,Davis,32.5,Inactive,2022-07-13,112166.37,bob.davis@example.com,(070) 176-5635,Excellent,False,DevOps,New York
EMP1168,Heidi,Davis,40.0,Active,2021-10-02,79873.48,heidi.davis@example.com,(004) 125-7770,Average,False,Finance,Nevada
EMP1169,Frank,Miller,30.0,Active,2020-07-05,108224.03,frank.miller@example.com,(183) 727-4219,Poor,True,DevOps,Florida
EMP1170,Bob,Garcia,35.0,Active,2023-04-16,116963.72,bob.garcia@example.com,(912) 418-6209,Average,True,Admin,Illinois
EMP1171,Bob,Jones,40.0,Inactive,2024-11-12,114109.06,bob.jones@example.com,(427) 523-0836,Average,True,HR,Nevada
EMP1172,Eva,Williams,30.0,Active,2023-03-29,85518.88,eva.williams@example.com,(081) 647-0899,Excellent,False,HR,California
EMP1173,Heidi,Brown,30.0,Pending,2022-01-22,58041.97,heidi.brown@example.com,(633) 533-1059,Poor,True,Cloud Tech,California
EMP1174,David,Garcia,40.0,Pending,2023-10-14,94988.94,david.garcia@example.com,(053) 131-2205,Good,False,Sales,Illinois
EMP1175,Eva,Miller,25.0,Pending,2024-04-10,71628.93,eva.miller@example.com,(815) 583-9385,Excellent,False,Admin,California
EMP1176,Alice,Williams,30.0,Pending,2022-03-31,54870.98,alice.williams@example.com,(613) 315-5205,Good,False,Admin,Illinois
EMP1177,Alice,Williams,25.0,Active,2022-02-09,79388.27,alice.williams@example.com,(506) 373-1494,Average,True,DevOps,Illinois
EMP1178,Frank,Smith,35.0,Pending,2023-05-06,55946.99,frank.smith@example.com,(013) 649-7188,Average,False,DevOps,California
EMP1179,Charlie,Williams,30.0,Active,2021-07-11,81017.91,charlie.williams@example.com,(241) 956-2524,Excellent,True,Cloud Tech,Nevada
EMP1180,Heidi,Jones,40.0,Pending,2020-08-21,74162.1,heidi.jones@example.com,(715) 099-7682,Excellent,False,HR,New York
EMP1181,Heidi,Davis,32.5,Active,2021-03-27,77668.44,heidi.davis@example.com,(890) 309-1435,Good,True,DevOps,California
EMP1182,Alice,Miller,30.0,Active,2024-04-14,67886.37,alice.miller@example.com,(391) 025-7431,Poor,False,HR,New York
EMP1183,Alice,Williams,40.0,Active,2020-09-21,76614.52,alice.williams@example.com,(630) 397-5244,Good,True,DevOps,Florida
EMP1184,Frank,Smith,25.0,Active,2022-06-12,51311.91,frank.smith@example.com,(086) 403-5532,Excellent,False,Finance,Nevada
EMP1185,Frank,Jones,35.0,Inactive,2023-12-24,94809.92,frank.jones@example.com,(803) 396-8526,Good,True,Finance,Illinois
EMP1186,Grace,Johnson,25.0,Pending,2022-07-31,108241.81,grace.johnson@example.com,(017) 130-2320,Excellent,True,HR,New York
EMP1187,Bob,Davis,40.0,Inactive,2023-04-21,78031.49,bob.davis@example.com,(298) 338-1673,Good,True,Cloud Tech,New York
EMP1188,Eva,Davis,35.0,Active,2020-06-05,85733.83,eva.davis@example.com,(233) 629-3448,Excellent,True,Admin,California
EMP1189,David,Miller,35.0,Pending,2024-07-27,60338.29,david.miller@example.com,(734) 715-6626,Excellent,False,HR,Nevada
EMP1190,Eva,Davis,30.0,Active,2024-04-05,103140.67,eva.davis@example.com,(768) 962-7065,Excellent,False,Admin,Illinois
EMP1191,Heidi,Williams,40.0,Inactive,2023-10-26,114690.8,heidi.williams@example.com,(149) 828-2466,Poor,True,Sales,Illinois
EMP1192,Frank,Smith,35.0,Active,2022-08-18,80954.56,frank.smith@example.com,(474) 689-7151,Good,False,Admin,Florida
EMP1193,Eva,Davis,30.0,Pending,2020-05-31,71728.55,eva.davis@example.com,(732) 300-8575,Good,True,Cloud Tech,California
EMP1194,Alice,Davis,35.0,Pending,2024-11-04,118415.8,alice.davis@example.com,(665) 674-9159,Good,True,HR,Texas
EMP1195,Grace,Johnson,40.0,Pending,2020-03-25,81481.36,grace.johnson@example.com,(169) 236-4586,Excellent,False,Sales,Illinois
EMP1196,David,Johnson,35.0,Pending,2020-11-04,117040.57,david.johnson@example.com,(506) 633-7049,Good,True,Sales,Florida
EMP1197,Frank,Brown,25.0,Active,2020-03-21,67342.06,frank.brown@example.com,(249) 724-3991,Good,True,Sales,Nevada
EMP1198,Heidi,Jones,30.0,Active,2022-01-15,76099.64,heidi.jones@example.com,(011) 669-1835,Excellent,False,Sales,Illinois
EMP1199,Grace,Williams,35.0,Active,2024-06-04,94162.06,grace.williams@example.com,(264) 488-6945,Average,True,DevOps,Illinois
EMP1200,Frank,Davis,25.0,Inactive,2021-08-04,67639.7,frank.davis@example.com,(119) 524-3639,Excellent,True,Sales,Nevada
EMP1201,Charlie,Garcia,35.0,Pending,2020-10-16,114172.25,charlie.garcia@example.com,(270) 116-8645,Good,True,Cloud Tech,Illinois
EMP1202,Grace,Davis,30.0,Active,2021-09-26,89124.54,grace.davis@example.com,(225) 223-7280,Excellent,True,Sales,Nevada
EMP1203,Frank,Smith,30.0,Pending,2023-11-04,113871.36,frank.smith@example.com,(793) 230-2345,Average,False,DevOps,Nevada
EMP1204,Grace,Brown,30.0,Inactive,2021-09-24,62618.4,grace.brown@example.com,(791) 214-1613,Excellent,False,HR,Texas
